 ,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,S. Africa,Croatia,Israel,
1993:Q3,75.01,90.69,85.59,87.39,88.12,80.36,83.72,75.88,82.27,77.25,60.88,91.65,94.51,78.37,85.33,83.02,69.55,75.48,83.03,77.52,85.12,35.32,73.81,
1993:Q4,75.55,90.95,84.11,87.94,89.11,80.32,83.33,75.14,81.94,77.48,60.89,91.33,94.13,79.23,84.51,83.01,69.74,75.91,83.09,77.76,83.76,37.93,74.23,
1994:Q1,76.62,90.64,85.82,88.15,89.08,80.18,81.81,72.75,82.03,77.44,59.45,91.50,94.30,79.79,84.10,83.88,70.70,76.18,83.69,78.13,83.74,39.57,74.39,
1994:Q2,77.57,91.25,86.16,88.87,88.34,80.62,81.62,72.40,82.07,77.54,59.55,91.38,95.76,81.12,83.66,84.32,70.97,76.54,83.10,78.68,84.21,42.12,74.22,
1994:Q3,77.74,92.10,85.44,89.44,89.34,81.23,81.77,72.45,82.67,78.36,59.94,91.35,95.11,82.07,84.33,84.68,70.36,77.07,82.51,79.08,85.00,45.25,74.45,
1994:Q4,78.16,93.16,85.86,89.75,89.93,82.19,82.24,73.19,83.44,78.41,60.60,91.96,95.16,83.90,86.42,85.09,70.78,77.48,82.48,79.81,85.90,48.99,75.98,
1995:Q1,78.41,95.55,85.81,89.82,90.06,84.43,83.84,77.09,83.60,79.13,62.51,91.88,95.69,84.74,88.33,85.57,71.63,78.90,82.70,80.39,85.75,58.10,79.74,
1995:Q2,78.42,96.61,85.86,90.08,90.92,85.67,85.16,78.12,84.51,79.42,63.29,92.22,96.13,85.63,90.00,86.07,72.49,79.46,82.46,80.59,86.18,62.58,82.47,
1995:Q3,79.06,96.99,85.46,90.21,90.57,86.71,85.50,79.02,84.59,79.93,63.96,92.36,95.94,86.22,91.78,86.43,72.58,80.17,82.43,81.01,87.18,66.21,83.34,
1995:Q4,79.73,97.88,85.64,90.26,90.16,87.45,86.55,79.32,84.82,80.39,64.51,92.66,95.57,87.98,91.96,86.74,72.87,80.64,82.60,81.34,87.40,68.92,84.20,
1996:Q1,80.32,96.01,85.65,89.58,91.06,86.85,86.32,77.08,84.52,81.37,64.30,93.92,95.30,89.89,92.40,87.57,73.61,81.52,81.99,81.88,87.37,66.96,85.50,
1996:Q2,80.93,96.40,84.95,89.89,90.84,86.89,86.92,77.27,84.97,81.91,64.90,94.30,95.50,90.30,92.93,87.94,74.69,82.07,82.15,82.42,88.25,68.58,86.45,
